"No.","Time","Source","Destination","Protocol","Length","Info"
"302","4.175450","192.168.0.100","54.187.107.148","TLSv1.2","328","Application Data"
"303","4.192025","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=14489 Win=64256 Len=0 TSval=455874359 TSecr=330882762"
"304","4.192373","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=14914 Win=64256 Len=0 TSval=455874359 TSecr=330882762"
"305","4.192624","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=17610 Win=66944 Len=0 TSval=455874362 TSecr=330882790"
"306","4.192628","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=18958 Win=69760 Len=0 TSval=455874363 TSecr=330882794"
"307","4.193041","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=20306 Win=71040 Len=0 TSval=455874363 TSecr=330882800"
"308","4.193045","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=21654 Win=72064 Len=0 TSval=455874364 TSecr=330882800"
"309","4.194088","192.168.0.100","17.253.55.205","TCP","78","52037  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=330882837 TSecr=0 SACK_PERM=1"
"310","4.198200","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=24350 Win=72064 Len=0 TSval=455874365 TSecr=330882808"
"311","4.202738","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=27046 Win=72064 Len=0 TSval=455874374 TSecr=330882811"
"312","4.202960","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=29114 Win=72064 Len=0 TSval=455874374 TSecr=330882811"
"313","4.202962","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=29372 Win=72064 Len=0 TSval=455874374 TSecr=330882818"
"314","4.203322","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=29634 Win=72064 Len=0 TSval=455874374 TSecr=330882820"
"315","4.211151","17.253.55.205","192.168.0.100","TCP","74","80  >  52037 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1360 SACK_PERM=1 TSval=1838900038 TSecr=330882837 WS=128"
"316","4.211237","192.168.0.100","17.253.55.205","TCP","66","52037  >  80 [ACK] Seq=1 Ack=1 Win=132096 Len=0 TSval=330882854 TSecr=1838900038"
"317","4.211917","192.168.0.100","17.253.55.205","HTTP","366","GET /ocsp04-devid01/ME4wTKADAgEAMEUwQzBBMAkGBSsOAwIaBQAEFDOB0e%2FbaLCFIU0u76%2BMSmlkPCpsBBRXF%2B2iz9x8mKEQ4Py%2Bhy0s8uMXVAIIKrZsVGlY6ko%3D HTTP/1.1 "
"318","4.234429","192.168.0.100","54.187.107.148","UDP","165","54601  >  8801 Len=123"
"319","4.239283","192.168.0.100","54.187.107.148","TLSv1.2","330","Application Data"
"320","4.250641","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=29898 Win=72064 Len=0 TSval=455874425 TSecr=330882881"
"321","4.253404","192.168.0.100","54.187.107.148","TLSv1.2","500","Application Data"
"322","4.253468","192.168.0.100","54.187.107.148","TLSv1.2","532","Application Data"
"323","4.265013","17.253.55.205","192.168.0.100","TCP","66","80  >  52037 [ACK] Seq=1 Ack=301 Win=64896 Len=0 TSval=1838900098 TSecr=330882854"
"324","4.266786","54.187.107.148","192.168.0.100","TCP","66","443  >  52035 [ACK] Seq=9559 Ack=30798 Win=72064 Len=0 TSval=455874441 TSecr=330882894"
"325","4.344667","17.253.55.205","192.168.0.100","TCP","1414","80  >  52037 [ACK] Seq=1 Ack=301 Win=64896 Len=1348 TSval=1838900176 TSecr=330882854 [TCP segment of a reassembled PDU]"
"326","4.347131","17.253.55.205","192.168.0.100","TCP","1414","80  >  52037 [ACK] Seq=1349 Ack=301 Win=64896 Len=1348 TSval=1838900176 TSecr=330882854 [TCP segment of a reassembled PDU]"
"327","4.347138","17.253.55.205","192.168.0.100","OCSP","704","Response"
"328","4.347229","17.253.55.205","192.168.0.100","TCP","66","80  >  52037 [FIN, ACK] Seq=3335 Ack=301 Win=64896 Len=0 TSval=1838900176 TSecr=330882854"
"329","4.347292","192.168.0.100","17.253.55.205","TCP","66","52037  >  80 [ACK] Seq=301 Ack=2697 Win=129664 Len=0 TSval=330882985 TSecr=1838900176"
"330","4.347293","192.168.0.100","17.253.55.205","TCP","66","52037  >  80 [ACK] Seq=301 Ack=3335 Win=129024 Len=0 TSval=330882985 TSecr=1838900176"
"331","4.347376","192.168.0.100","17.253.55.205","TCP","66","52037  >  80 [ACK] Seq=301 Ack=3336 Win=129024 Len=0 TSval=330882985 TSecr=1838900176"
"332","4.347665","192.168.0.100","17.253.55.205","TCP","66","52037  >  80 [FIN, ACK] Seq=301 Ack=3336 Win=131072 Len=0 TSval=330882985 TSecr=1838900176"
"333","4.363561","54.187.107.148","192.168.0.100","TLSv1.2","1354","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"334","4.363810","54.187.107.148","192.168.0.100","TLSv1.2","186","Application Data, Application Data"
"335","4.363813","54.187.107.148","192.168.0.100","TLSv1.2","209","Application Data, Application Data"
